Gif,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Confusion,Contempt,Craving,Disappointment,Disgust,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Nostalgia,Pride,Relief,Romance,Sadness,Satisfaction,Sexual Desire,Surprise,Sympathy,Triumph
1369.mp3,0,0,2.5455,0,0,0,2,0,35.0909,15.8182,6,0,0,0,0,0,0,0,0,0,0,0,0,1.8182,0,0,0,0,0,15.9091,0,0,0,0
1370.mp3,0,0.63636,0,0,0,0,1.3636,0,0,14.2727,0,0,7.0909,0,0,0,0,7.5455,0,0,0,0,0,0,0,0,0,0,0,8.5455,57.0909,0,0,0
1371.mp3,8.7273,26.0909,0,27.0909,0,0,13.8182,0,0,7.4545,0,0,0,0,0,0,0,0,0,0,0,0,14.8182,7.1818,0,0,0,0,0,0,0,8.9091,0,0
1372.mp3,0,0,21.6364,0,0,0,0,0,38.4545,23.6364,0,0,0,0,0,0,7.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1373.mp3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,5.1818,7.1818,0,0,0,40.3636,0,51.0909,0,0,0,0,0,0,27.8182,0,0,12.4545,9,0
1374.mp3,0,0,0,20.8182,0,17.5455,0,0,0,0,16.8182,0,0,0,0,0,0,0,9,36.0909,0,19.2727,6.9091,0,0,0,0,0,0,0,0,12.7273,0,0
1375.mp3,0,0,0,0,0,41.8182,7.6364,0,0,0,8.7273,0,0,0,0,0,0,0,13.9091,66.1818,8.3636,5.9091,0,0,0,0,0,0,0,0,0,13.9091,7.5455,0
1376.mp3,0,6.2727,0,25.4545,0,15.2727,1.5455,0,0,0,6.9091,0,0,0,0,0,0,0,8.9091,31.7273,0,3.2727,15.9091,0,0,0,0,0,0,8.0909,0,1,0,0
1377.mp3,0,0,0,0,0,0,0,0,0,0,0,0,5.0909,0,0,0,0,0,21.6364,0,0,0,0,0,0,0,0,0,0,8.9091,76.7273,0,0,0
1378.mp3,7.4545,15.0909,31.7273,0,0,0,15,0,0,24.6364,0,0,0,0,0,0,8,6.2727,8.6364,0,0,0,0,0,0,0,0,31.8182,0,0,0,0,0,0
1379.mp3,8.6364,30.7273,0,30.2727,0,0,22.5455,0,0,7.8182,0,0,0,0,0,0,0,0,8,0,0,0,0,26,8.8182,6.0909,0,0,0,0,0,0,0,0
1380.mp3,21.6364,14.9091,0,0,0,0,0,0,3.5455,0,0,0,0,0,0,0,0,0,8.2727,0,0,0,6.5455,26.0909,13.7273,12.4545,0,0,2.0909,3.9091,0,0,7.2727,12.2727
1381.mp3,5.5385,3.0769,7.6923,4.6154,0,0,12.7692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2308,4.8462,0,0,22.6154,0,5.6923,0,0,0,0
1382.mp3,0,1.6154,0,25.8462,0,0,0,0,0,0,0,0,0,4.8462,0,0,0,0,0,0,0,0,6,11.3846,22.7692,0,0,0,3.1538,6.1538,0,0,0,0
1383.mp3,5.1538,3.3077,0,0,0,0,4.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0769,18.3077,10.6154,0,0,52.8462,0,2.6923,9.3846,0,0,0
1384.mp3,11.4615,0,0,4.6154,0,0,0,0,7.4615,0,0,11,0,7.6923,9.6154,0,0,0,0,0,0,0,18.7692,19.1538,11.6923,6.6923,0,0,0,6.3846,0,0,0,0
1385.mp3,0,2.0769,0,0,0,0,0,7.6923,0,0,0,0,4.2308,0,0,0,0,0,0,0,0,0,6.3077,6.4615,0,0,0,0,0,0,72.6154,5.1538,0,0
1386.mp3,7.2308,0,20.1538,7.3077,0,0,11.6923,0,7.6923,10.2308,0,0,0,0,0,0,0,0,6.1538,0,0,0,13.3077,6.4615,3.3077,0,0,0,0,6.9231,0,0,0,0
1387.mp3,13.8462,0,27.1538,14.4615,0,0,7.3846,0,0,7.2308,0,0,6,0,0,0,22.5385,0,0,0,0,0,31.0769,13.4615,0,0,0,0,0,7.4615,0,3.1538,0,0
1388.mp3,0,3.3846,0,15.7692,0,0,0,31.6154,0,0,4.4615,0,0,0,0,0,0,0,0,0,0,0,6.3846,9.8462,0,0,0,0,0,0,19.2308,2.9231,0,0
1389.mp3,0,0,17.8462,0,0,0.76923,6.1538,0,0,6.6923,0,0,19.3846,0,0,0,5.1538,0,0,0,0,0,12.6923,6.3846,6.5385,0,6.0769,0,0,8.0769,0,13,0,0
1390.mp3,0,0,0,5,0,1.1538,6.6923,14.3077,0,0,18.3846,0,0,0,15.3077,0,0,0.46154,0,0,0,0,7.4615,0,0,0,0,0,0,0,12.6923,26.5385,0,0
1391.mp3,21.3077,12.1538,0,34.3077,0,0,29.9231,0,0,0,0,0,0,0,0,0,0,0,6.9231,0,0,0,1.0769,26.6923,0,0,0,0,0,6.9231,0,0,1,0
1392.mp3,0,0,0,4.7692,0,13.4615,0,0,0,0,0,0,0,0,0,0,0,0,3.3846,8.8462,0,0,25.1538,6.8462,11.2308,0,0,0,0,6.8462,0,0,7.6923,0
1393.mp3,0,0,0,15.1538,15.0769,7.7692,6.6154,0,0,0,3.4615,0,0,10.6923,0,0,0,0,6.0769,5.9231,0,0,0,11.4615,0,0,3.4615,0,0,14.6154,0,8.9231,0,0.46154
1394.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,6.3846,0,0,0,0,0,0,0,60.4615,0,0,0
1395.mp3,12.7692,0,17.7692,17,0,13.6154,12.1538,0,0,0,0,0,0,21.6154,0,6.8462,5.3077,0,0,0,0,0,11.6154,0,0,0,0,0,12.6923,2.0769,0,1.9231,14.9231,0
1396.mp3,0,4.0769,0,62.4615,0,0,12.6923,0,0,0,0,0,1.6154,0,0,0,0,0,2.8462,0,0,0,13.6154,13.3077,0,0,0,0,0,0,0,19.9231,0,0
1397.mp3,5.6154,0,0,12.1538,0,9.4615,0,5.3077,0,0,0,0,0,0,0,0,0,0,15.6923,5.7692,0,0,0,0,0,0,30.8462,0,0,0,0,24.8462,0,0
1398.mp3,0,6,0,25.3077,0,0,0,24.6923,0,0,3.0769,0,0,0,0,0,0,0,1.9231,0,0,0,0,24.7692,0,0,0,0,0,0,4.1538,13.0769,0,0
1399.mp3,0,1.4615,6.8462,0,0,0,0,3.4615,4.6923,0,3.2308,0,5.6154,0,0,0,0,7.6923,0,0,0,0,5.9231,6.3077,0,0,0,0,0,6.8462,41.4615,5.8462,0,0
1400.mp3,0,0,38,4.6923,0,0,35.1538,0,0,6.2308,0,0,0,0,0,0,8.6154,0,10.6923,7.6923,0,7.6923,9.1538,6.2308,0,0,0,0,0,6.3846,0,0,0,0
1401.mp3,5.7692,0,0,10.7692,0,6.9231,0,0,0,0,24.7692,0,0,0,0,0,0,0,24.6923,10.6923,0,0,8.0769,0,0,2.2308,0,0,0,6.8462,0,0,0,0
1402.mp3,0,0,0,35.4615,0,6.0769,0,0,0,0,0,0,0,0.84615,0,0,0,0,16.6923,17.3846,0,0,0,7,0,0,0,0,7.6923,0,0,15.7692,0,0
1403.mp3,0,0,0,0,1.8462,2.9231,0,0,7.6923,0,6.3077,0,0,0,17.0769,23.8462,0,0,8.9231,5.9231,0,2.6923,0,0,0,0,6.0769,0,3.4615,0,0,7.6923,5.5385,0
1404.mp3,5.6923,0,0,24.3846,6.7692,0,0,18.0769,0,0,11.6923,0,0,6.3077,4.1538,4.2308,0,0,0,0,0,0,6.1538,5.3846,0,0,7.6923,0,7.6923,0,0,0,13.5385,0
1405.mp3,5.8462,27.9231,0,51.1538,0,0,17.3846,0,0,0,0,0,0,6.6154,0,0,0,0,0,0,0,0,6.5385,22.8462,0,0,0,0,0,0,0,12.6154,0,0
1406.mp3,0,0,0,0,0,20.4615,0,0,7.6923,0,0,0,0,0,2.4615,7.3846,0,0,0,48.7692,0,24.4615,6.6923,0,0,0,0,0,20.8462,0,0,2.0769,12.6154,0
1407.mp3,0,9.0769,0,0,0,0,7.6923,0,0,0,0,0,3.3846,0,0,0,0,0,0,0,0,0,0,13.6154,0,0,0,47.7692,0,0,12.0769,0,0,0
1408.mp3,6.8462,3.8462,0,0,0,0,5.9231,0,0,0,0,2.8462,0,0,0,0,0,0,0,0,0,0,5.3846,14,14.8462,0,0,45.9231,0,0,2.3077,0,0,0
1409.mp3,5.9231,0,20.2308,0,0,3.5385,3.0769,0,13.4615,22.6923,1.5385,0,0,0,0,0,0,0,0,0,0,0,0,6.6923,3.0769,0,0,0,0,7.2308,0,0,0,0
1410.mp3,0,7,0,30.5385,0,0,3.3077,0,0,0,0,0,0,7.3077,0,0,0,0,11.6923,0,0,0,0,27.6154,0,0,0,0,0,0,0,13.3846,0,1.5385
1411.mp3,0,20.5385,0,70.9231,0,0,3.1538,0,0,0,0,0,0,0,0,0,0,0,7.2308,0,0,0,0,20.0769,0,0,0,0,0,0,0,18.3846,11.1538,0
1412.mp3,2.4615,0,5.7692,8.0769,0,0,0,0,5.8462,0,7.9231,0,0,0,0,0,3.6154,0,0,0,0,0,51.0769,0,0,0,0,0,0,0,0,0,0,0
1413.mp3,0,0,0,10.0769,0,0,0,6.6154,15.7692,0,6.7692,11.8462,0,0,0,0,0,0,2.8462,0,0,0,0,0,31.5385,0,0,0,0,0,0,3.4615,0,0
1414.mp3,0,6.5385,0,21.1538,0,0,0,0,0,0,0,0,0,0,79.3846,0,0,0,0,0,0,0,2.7692,0,0,0,0,0,0,0,0,18.3077,4.6923,0
1415.mp3,6.0769,6.6923,0,31.7692,0,0,7.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9231,7.1538,7.6923,0,0,7.6923,0,0,7.0769,13,6.5385
1416.mp3,0,29.6154,6.9231,31.6154,0,0,29.2308,0,0,16.9231,0,0,0,0,0,0,0,0,0,0,0,0,7.2308,8.6154,0,0,0,0,0,0,0,0,2.6154,0
1417.mp3,0,36.2308,0,28.3846,0,0,17.8462,0,0,12.6923,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1538,0,0,0,0,0,7.1538,0,0,0,0
1418.mp3,0,40.7692,15,15.1538,0,0,35.0769,0,0,5.6923,0,0,0,0,0,0,0,7,0,0,0,0,0,21.3077,0,1,0,0,0,8.4615,0,7.0769,0,0
1419.mp3,0,0,0,2,0,14.8462,4.2308,0,0,0,13.8462,0,0,0,17.2308,0,7.4615,0,6.5385,46.4615,0,21.5385,0,0,0,4.3846,0,0,0,0,0,27.3846,0,0
1420.mp3,14.7692,7.6154,0,0,0,0,3.7692,0,0,0,0,0,0,0,8.6923,0,0,0,14.7692,0,0,0,18.5385,35.0769,0,2.0769,0,0,0,7.6923,0,21.3846,13.8462,7.2308
1421.mp3,6.7692,0,37.5385,2.9231,0,0,37.9231,0,0,0,0,3.7692,0,0,0,0,18.4615,0,20.3846,0,0,0,11.9231,6.9231,0,7.2308,0,0,0,6.9231,0,0,0,6.6154
1422.mp3,0,0,7.2308,0,0,24,22.0769,0,0,0,0,0,0,0,0,0,0,0,5.5385,60.0769,0,6.9231,14.8462,0,0,0,0,0,0,0,0,7.1538,0,0
1423.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.8462,7.6923,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6923,0,0,0,0
1424.mp3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7692,7.4615,0,0,0,0,10.9231,0,0,0,67.5385,0,0,17.2308,0,4.3846,0
1425.mp3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,79.5385,0,0,0,0,12.6154,0,0,0,0,0,0,0,0,0,0,0,6.8462,0,0
1426.mp3,3.7692,0,61.8462,4.6923,0,0,30.3077,0,0,7,0,0,0,0,0,0,9.3077,6.9231,7.3846,0,0,0,14.3846,16.3077,0,0,0,0,0,0,0,0,0,0
1427.mp3,0,0,19.7692,0,0,0,6.6923,0,14.6154,28.5385,0,4.5385,35.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3846,4.3846,7.5385,0,0
1428.mp3,0,0,0,32,0,0,6.2308,8.3077,7.6923,0,7.2308,0,0,0,0,0,0,0,4.4615,0,0,0,4.8462,7.4615,25.9231,0,0,0,0,6.2308,0,12.6154,0,0
1429.mp3,0,34.9231,7.3846,1.8462,0,0,41.2308,0,0,7.0769,0,0,0,0,0,0,0,0,0,0,0,0,5,17.2308,0,0,0,0,0,0,0,0,3.0769,0
1430.mp3,7.4615,2.1538,0,6.3077,0,0,20.6154,0,0,0,13.5385,6.6923,0,0,0,0,0,0,11.9231,11.6154,0,0,22.3077,0,0,0,0,0,0,0,0,47.9231,0,0
1431.mp3,0,0,30.6154,2.4615,0,0,7.3846,0,4.4615,6.6154,7.3077,0,0,0,0,0,23,0,0,0,0,0,25.6923,0,0,0,0,0,0,6.6154,0,0,0,0
1432.mp3,7.2308,0,0,12.6154,0,3.7692,7.2308,0,0,0,0,7.6923,0,0,0,0,0,0,6.2308,0,0,0,7.6923,51.2308,7.3077,7.4615,14.3077,0,7.3846,14.9231,0,20.9231,19.5385,12.3846
1433.mp3,0,0,7.4615,4.2308,0,0,7.3846,6.5385,6.7692,0,8.5385,7.0769,0,0,0,0,0,0,0,0,0,0,33.3846,7.1538,0,0,0,0,0,14.2308,1.0769,58.1538,0,0
1434.mp3,0,0,0,7.6923,0,12.3077,0,0,0,0,0,0,0,0,17.0769,0,0,0,0,35.8462,0,60.8462,0,0,1.6923,0,0,0,0,0,0,0,0,0
1435.mp3,0,0,0,0,0,0,0,0,2.0769,0,0,0,0,0,0,0,0,0,13.9231,0,0,0,0,0,0,0,0,63.2308,0,0,19.6923,0,0,0
1436.mp3,0,0,0,42.9231,0,14.0769,11.8462,0,0,0,0,0,0,0,0,0,0,5.6923,5.1538,7.2308,0,0,0,12.1538,0,0,0,0,0,7.5385,0,44.1538,0,0
1437.mp3,0,0,7,27,0,0,0,0,7.2308,7.2308,0,6.1538,0,0,0,0,4.6154,0,0,0,0,0,20.2308,1.3846,26.3077,0,0,0,0,0,0,0,0,0
1438.mp3,0,0,0,0,0,0,0,12.4615,0,0,0,0,0,0,6.6154,0,0,0,7.2308,0,0,0,0,0,0,0,0,0,0,7.3077,65.0769,0,0,0
1439.mp3,4.3077,0,68.9231,6.4615,0,0,23.3846,0,0,14.7692,0,13.0769,0,0,0,0,0,7.2308,7.6923,0,0,0,11.3846,12.8462,0,0,0,6.2308,0,5.7692,0,0,0,0
1440.mp3,0,0,0,3.6923,0,9.9231,14.3846,0,0,0,0,0,0,0,0,8.0769,10.4615,0,0,44.5385,0,0,12.3077,0,0,0,15.4615,0,0,8.3077,0,22,5.0769,13.0769
1441.mp3,0,0,0,0,0,4.5455,0,4.5455,0,0,4.5455,0,0,0,89.6364,0,0,0,0,0,0,29.2727,7.0909,0,0,0,0,0,0,0,0,0,0,0
1442.mp3,0,0,0,19.0455,8.5455,13.2273,0,4.5455,6.2727,0,24.0909,0,0,0,16.5909,0,0,0,0,10.3182,0,4.2273,0,4.5455,0,0,0,0,0,0,0,4.3182,0,0
1443.mp3,0,0,0.45455,8.5455,0,8.5455,12.6364,0,0,0,0,0,0,0,14,0,1.8182,0,0,15.5,0,23.9545,15.7273,0,0,0,0,0,0,0,0,0,0,0
1444.mp3,20.9545,25.9545,0,8.0909,0,0,7.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8636,0,0,0,65.3636,0,8.4545,0,4.0455,4.1818,0
1445.mp3,41,0,0,0,0,0,8.6818,0,0,0,0,0,0,0,0,0,0,8.3636,4.3636,0,0,0,0,11.4545,17.5,0,0,0,23.8182,8.2273,0,0,9.3636,9.2727
1446.mp3,0,0,31.4091,0,0,0,4.0909,0,6.5455,32.2727,0,0,14.5,0,0,0,12.8182,0,0,0,0,0,0,0,0,0,0,0,0,4.2273,0,0,0,0
1447.mp3,0,0,0,0,0,0,4.2273,0,0,4.6364,0,0,0,0,1.9091,0,4.4091,5.9091,8.6818,0,0,0,9.0909,0,0,0,0,0,0,4.4091,55.0909,4.3636,0,0
1448.mp3,0,0,0,33.8636,0,4.5455,4.5455,4.4091,2.4545,0,37,0,0,0,0,0,0,0,0,2.0909,0,0,11,0,0,0,0,0,0,0,0,9.7727,0,0
1449.mp3,0,0,4.7727,0,0,0,0,0,0,0,0,0,67.5909,0,0,0,0,0,0,0,0,0,7.6364,0,12.2727,0,0,0,0,4.2273,0,0,0,0
1450.mp3,0,0,0,24,17.6818,0,0,4.1818,0,0,15.1818,7.0909,0,0,20.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1818,0,0,4.2273,13.3182,0
1451.mp3,0,0,14.5,0,0,0,2.7273,0,0,0,16.6364,0,39.4545,0,0,0,2,0,0,0,0,0,5.2727,0,0,0,0,0,0,0,0,9.0909,0,0
1452.mp3,0,20.6364,0,30.2727,0,0,18.8636,0,0,0,4.3636,0,0,0,0,0,0,0,0,0,0,0,7.1364,4.3182,0,0,0,0,0,4.0455,0,17.6364,0,0
